,type,id,lat,lon,tags.name,tags.name:en,tags.opening_hours,tags.shop,tags.name:ru,tags.source,tags.phone,tags.description,tags.contact:phone,tags.comment,geometry
18,node,1264393728,43.1091379,131.9406781,Ваш стиль,,,hairdresser,,image,544-116,,,,POINT (43.1091379 131.9406781)
19,node,1304281997,43.1116278,131.9377224,"Парикмахерская, косметолог",,,hairdresser,,image,97-89-12,,,,POINT (43.1116278 131.9377224)
20,node,1334027591,43.1151983,131.9085688,"Имидж студия ""LS""",,,hairdresser,,,,,,,POINT (43.1151983 131.9085688)
21,node,1434162954,43.0986405,131.903498,Очарование,,,hairdresser,,,,,,,POINT (43.0986405 131.903498)
22,node,1447576996,43.1592826,131.9127229,Персона,,,hairdresser,,knowledge,,,,,POINT (43.1592826 131.9127229)
23,node,1447577033,43.1584727,131.9128394,,,,hairdresser,,knowledge,,,,,POINT (43.1584727 131.9128394)
24,node,1463518731,43.1525567,131.9162382,,,,hairdresser,,,,,,,POINT (43.1525567 131.9162382)
25,node,1583647902,43.1139305,131.942556,Лаки,,,hairdresser,,,,,,,POINT (43.1139305 131.942556)
26,node,1585252862,43.177357,131.9315421,парикмахерская,,,hairdresser,,,,,,,POINT (43.177357 131.9315421)
27,node,1585252871,43.1768088,131.9315256,салон красоты,,,hairdresser,,,,,,,POINT (43.1768088 131.9315256)
28,node,1643928815,43.1709059,131.9323733,Звезда,,,hairdresser,,,,,,,POINT (43.1709059 131.9323733)
29,node,1750575693,43.1136749,131.8827159,Ютэс,,Mo-Su 10:00-20:00,hairdresser,,image,,,,,POINT (43.1136749 131.8827159)
30,node,1873912240,43.0925162,131.9274464,,,,hairdresser,,image,,,,,POINT (43.0925162 131.9274464)
31,node,1892724757,43.11415,131.8815668,Золотая рыбка,,Mo-Su 09:00-19:00,hairdresser,,knowledge,,,241-38-72,,POINT (43.11415 131.8815668)
32,node,1907851725,43.1197999,131.9444754,Саломея,,,hairdresser,,,,,,,POINT (43.1197999 131.9444754)
33,node,1953958754,43.1279887,131.9392588,Имидж,,,hairdresser,,image,,,,,POINT (43.1279887 131.9392588)
34,node,2017581809,43.0950804,131.8627479,Галина,,Mo-Su 08:00-19:00,hairdresser,,survey,,,,,POINT (43.0950804 131.8627479)
35,node,2045560754,43.1494965,131.905673,,,,hairdresser,,image,,,2-367-993,,POINT (43.1494965 131.905673)
36,node,2084268015,43.1322018,131.900616,Чарли,,,hairdresser,,photo,,,,,POINT (43.1322018 131.900616)
37,node,2084286414,43.1147103,131.8882226,Helen,,Mo-Su 09:00-20:00,hairdresser,,image,,,,,POINT (43.1147103 131.8882226)
38,node,2108405397,43.1649924,131.9052584,Аня,,,hairdresser,,image,,,,,POINT (43.1649924 131.9052584)
39,node,2108405402,43.1652161,131.9059924,Наташа,,,hairdresser,,image,,,,,POINT (43.1652161 131.9059924)
40,node,2108405498,43.1644344,131.9060506,,,,hairdresser,,knowleadge,,,,,POINT (43.1644344 131.9060506)
41,node,2108405510,43.1644843,131.9051777,,,,hairdresser,,image,,,,,POINT (43.1644843 131.9051777)
42,node,2108655884,43.1125986,131.9226246,Гранж,,,hairdresser,,image,,,,,POINT (43.1125986 131.9226246)
43,node,2270173633,43.1120658,131.9218705,,,,hairdresser,,openstreetbugs,,,,,POINT (43.1120658 131.9218705)
44,node,2287610949,43.1168622,131.8828116,Владимир,Vladimir,Mo-Sa 08:00-19:00,hairdresser,Владимир,image,,,,,POINT (43.1168622 131.8828116)
45,node,2288622410,43.1067981,131.9382467,СеЛена,,Mo-Su 9:00-20:00,hairdresser,,image,,,,,POINT (43.1067981 131.9382467)
46,node,2292008005,43.1726373,131.9093618,,,,hairdresser,,,,,,,POINT (43.1726373 131.9093618)
47,node,2344041578,43.0995133,131.9409781,Арамис,,Mo-Su 09:00-20:00,hairdresser,,,,,,,POINT (43.0995133 131.9409781)
48,node,2344041582,43.1009398,131.9431003,Соната,,,hairdresser,,image,2639486,,,,POINT (43.1009398 131.9431003)
49,node,2346819579,43.1300435,131.9005255,,,,hairdresser,,image,,,,,POINT (43.1300435 131.9005255)
50,node,2371418214,43.1454299,131.9138493,Парикмакерская,,,hairdresser,,,,,,,POINT (43.1454299 131.9138493)
51,node,2382784920,43.13235,131.9176772,Сабрина,,,hairdresser,,,,,,,POINT (43.13235 131.9176772)
52,node,2466117726,43.0934331,131.8629917,Dolce Vita,,,hairdresser,,,,,,салон красоты,POINT (43.0934331 131.8629917)
53,node,2477364181,43.1202318,131.8853986,,,,hairdresser,,,,,,,POINT (43.1202318 131.8853986)
54,node,2494625241,43.112547,131.9365733,,,,hairdresser,,osm bugs,,в киоске,,,POINT (43.112547 131.9365733)
55,node,2494625409,43.1129312,131.9364732,,,,hairdresser,,osm bugs,,китайцы,,,POINT (43.1129312 131.9364732)
56,node,2494632625,43.1120998,131.9390605,Блеск,shine,Mo-Su 09:00-20:00,hairdresser,Блеск,osm bugs,,,,,POINT (43.1120998 131.9390605)
57,node,2508265494,43.11513,131.9117208,Стилист,,,hairdresser,,notes,266-19-38;266-19-23,,,,POINT (43.11513 131.9117208)
58,node,2508919588,43.1156885,131.9084831,AVIstudio,,Mo-Su 09:00-20:00,hairdresser,,notes,,,,,POINT (43.1156885 131.9084831)
59,node,2936330024,43.0943245,131.8967011,,,,hairdresser,,,,,,,POINT (43.0943245 131.8967011)
60,node,2936333152,43.0954217,131.8975075,Сакура,,09:00-20:00,hairdresser,,,,,,,POINT (43.0954217 131.8975075)
61,node,2939958230,43.0946054,131.8957899,,,,hairdresser,,,,,,,POINT (43.0946054 131.8957899)
62,node,2939958648,43.0949586,131.895655,,,,hairdresser,,,,,,,POINT (43.0949586 131.895655)
63,node,2980162676,43.0935937,131.9667283,Джулия,,,hairdresser,,image,225-65-10,,,,POINT (43.0935937 131.9667283)
64,node,3062638026,43.0959191,131.9592547,,,,hairdresser,,image,,,,,POINT (43.0959191 131.9592547)
65,node,3074313177,43.0934451,131.9569277,Какаду,,,hairdresser,,image,,,,,POINT (43.0934451 131.9569277)
66,node,3074452668,43.0909766,131.9702027,Star,,Mo-Su 09:00-20:00,hairdresser,,image,,"мужской, женский зал. Маникюр, педикюр, наращивание и дизайн ногтей, косметический кабинет",,,POINT (43.0909766 131.9702027)
67,node,3074452675,43.0918408,131.9714872,Парикмахерский магазин,,,hairdresser,,image,,,,,POINT (43.0918408 131.9714872)
68,node,3074610034,43.0958335,131.974391,Магия звёзд,,Mo-Su 10:00-19:00,hairdresser,,image,297-82-96,,,,POINT (43.0958335 131.974391)
69,node,3086986990,43.0899104,131.9669893,Имидж сервис,,,hairdresser,,image,,,,,POINT (43.0899104 131.9669893)
70,node,3148351385,43.0977548,131.9479574,Джоли,,,hairdresser,,image,2480891,,,,POINT (43.0977548 131.9479574)
71,node,3148363912,43.0961624,131.9507334,Парикмахер,,,hairdresser,,image,2710694;2678952,,,,POINT (43.0961624 131.9507334)
72,node,3243861786,43.0924269,131.9659452,Изабель,,Mo-Su 10:00-19:00,hairdresser,,image,,,,,POINT (43.0924269 131.9659452)
73,node,3243861787,43.0926861,131.9655033,Катрин,,Mo-Su 10:00-19:00,hairdresser,,image,251-10-26,,,,POINT (43.0926861 131.9655033)
74,node,3264623775,43.0922488,131.9717722,,,,hairdresser,,notes,,,,,POINT (43.0922488 131.9717722)
75,node,3279562237,43.0901121,131.9688003,Парикмахерская,,,hairdresser,Парикмахерская,image,276-98-02,,,,POINT (43.0901121 131.9688003)
76,node,3324204170,43.091605,131.9600715,Ателье мод,,,hairdresser,,image,,,,,POINT (43.091605 131.9600715)
77,node,4118012110,43.0908985,131.9688218,Элен,,,hairdresser,,,,,,,POINT (43.0908985 131.9688218)
78,node,4141911532,43.1353315,131.9028146,Домино,,Mo-Su 09:00-19:00,hairdresser,,notes,,,,,POINT (43.1353315 131.9028146)
79,node,4322833989,43.1154183,131.946322,Татьяна,,,hairdresser,,,,,,,POINT (43.1154183 131.946322)
80,node,4356719193,43.1241866,131.9228374,Камея,,,hairdresser,Камея,,,,,,POINT (43.1241866 131.9228374)
81,node,4397142575,43.1272691,131.923207,,,,hairdresser,,,,,,,POINT (43.1272691 131.923207)
82,node,4406230098,43.1161398,131.8874649,Добро,,,hairdresser,,knowledge,,,,,POINT (43.1161398 131.8874649)
83,node,4421936090,43.1306333,131.8968801,,,,hairdresser,,,,,,,POINT (43.1306333 131.8968801)
84,node,4842791021,43.1071022,131.9547432,Белая ночь,WhiteNight,,hairdresser,,,,,,,POINT (43.1071022 131.9547432)
85,node,4852879767,43.1250198,131.9458439,Александрия,,Mo-Sa 09:00-19:00,hairdresser,,image,,,,,POINT (43.1250198 131.9458439)
86,node,5215721526,43.1690974,131.920096,,,,hairdresser,,,,,,,POINT (43.1690974 131.920096)
87,node,5808092953,43.1005867,131.931234,Богема,,Mo-Su 09:00-18:00,hairdresser,,,,,,,POINT (43.1005867 131.931234)
88,node,5840733585,43.1251964,131.9165509,Вирджиния,,Mo-Su 10:00-20:00,hairdresser,,,,,,,POINT (43.1251964 131.9165509)
